Name_of_link, links
array_top_50, https://www.geeksforgeeks.org/dsa/top-50-array-coding-problems-for-interviews/
array_data_structure, https://www.geeksforgeeks.org/dsa/array-data-structure-guide/
string_top_50, https://www.geeksforgeeks.org/dsa/top-50-string-coding-problems-for-interviews/
string_topicwise, https://www.geeksforgeeks.org/dsa/string-problems-topicwise/
string_data_structure, https://www.geeksforgeeks.org/dsa/string-data-structure/
linked_list_data_structure, https://www.geeksforgeeks.org/dsa/linked-list-data-structure/
singly_linked_list_problems, https://www.geeksforgeeks.org/dsa/introduction-to-singly-linked-list/
binary_tree_top_50, https://www.geeksforgeeks.org/dsa/top-50-tree-coding-problems-for-interviews/
binary_tree_data_structure, https://www.geeksforgeeks.org/dsa/binary-tree-data-structure/
binary_search_tree_data_structure, https://www.geeksforgeeks.org/dsa/binary-search-tree-data-structure/
graph_data_structure_algorithm, https://www.geeksforgeeks.org/dsa/graph-data-structure-and-algorithms/
graph_top_50, https://www.geeksforgeeks.org/dsa/top-50-graph-coding-problems-for-interviews/
graph_data_structure, https://www.geeksforgeeks.org/dsa/graph-data-structure/
dynamic_programming_data_structure, https://www.geeksforgeeks.org/dsa/dynamic-programming/
dynamic_programming_topicwise, https://www.geeksforgeeks.org/dsa/dp-problems-topic-wise/
dynamic_programming_practice_problems, https://www.geeksforgeeks.org/dsa/dynamic-programming-practice-problems/
sorting_top_problems, https://www.geeksforgeeks.org/dsa/top-sorting-interview-questions-and-problems/
sorting_algorithm, https://www.geeksforgeeks.org/dsa/sorting-algorithms/
sorting_array, https://www.geeksforgeeks.org/dsa/sorting-in-array/
searching_top_50, https://www.geeksforgeeks.org/dsa/top-50-searching-coding-problems-for-interviews/
searching_algorithms, https://www.geeksforgeeks.org/dsa/searching-algorithms/
stack_top_50, https://www.geeksforgeeks.org/dsa/top-50-problems-on-stack-data-structure-asked-in-interviews/
stack_data_structure, https://www.geeksforgeeks.org/dsa/stack-data-structure/
queue_top_50, https://www.geeksforgeeks.org/dsa/top-50-problems-on-queue-data-structure-asked-in-sde-interviews/
queue_data_structure, https://www.geeksforgeeks.org/dsa/queue-data-structure/
sliding_window_top_problems, https://www.geeksforgeeks.org/dsa/top-problems-on-sliding-window-technique-for-interviews/
greedy_algorithms, https://www.geeksforgeeks.org/dsa/greedy-algorithms/
greedy_top_20, https://www.geeksforgeeks.org/interview-experiences/top-20-greedy-algorithms-interview-questions/
backtracking_algorithm, https://www.geeksforgeeks.org/dsa/backtracking-algorithms/
backtracking_top_20, https://www.geeksforgeeks.org/dsa/top-20-backtracking-algorithm-interview-questions/
bit_manipulation_top_problems, https://www.geeksforgeeks.org/dsa/top-problems-on-bit-manipulation-for-interviews/
bitwise_algorithm_practice_problems, https://www.geeksforgeeks.org/dsa/bitwise-algorithms-basic-practice-problems/
hashmap_data_structure, https://www.geeksforgeeks.org/dsa/hashing-data-structure/
hashmap_top_50, https://www.geeksforgeeks.org/dsa/top-50-problems-on-hash-data-structure-asked-in-sde-interviews/      
